iter	Passed	Remaining
0	141	141079
1	142	71316
2	144	48020
3	145	36351
4	147	29364
5	148	24682
6	150	21378
7	152	18869
8	153	16917
9	155	15349
10	156	14062
11	157	12998
12	159	12102
13	160	11326
14	162	10651
15	163	10069
16	165	9559
17	166	9096
18	168	8680
19	169	8301
20	170	7944
21	171	7621
22	172	7324
23	173	7055
24	174	6808
25	175	6582
26	176	6373
27	177	6178
28	179	5996
29	180	5826
30	181	5668
31	182	5519
32	183	5379
33	184	5246
34	185	5122
35	186	5004
36	188	4893
37	189	4788
38	190	4688
39	191	4592
40	192	4497
41	193	4407
42	194	4320
43	194	4236
44	195	4155
45	196	4078
46	197	4002
47	198	3928
48	198	3857
49	199	3789
50	200	3724
51	200	3661
52	201	3599
53	202	3540
54	202	3483
55	203	3428
56	203	3374
57	204	3323
58	205	3274
59	205	3225
60	206	3178
61	207	3133
62	207	3089
63	208	3046
64	208	3005
65	209	2965
66	210	2926
67	210	2885
68	211	2848
69	211	2813
70	212	2779
71	213	2745
72	213	2712
73	214	2681
74	214	2649
75	215	2619
76	216	2590
77	216	2562
78	217	2534
79	217	2506
80	218	2480
81	219	2454
82	219	2429
83	220	2404
84	220	2378
85	221	2355
86	222	2331
87	222	2309
88	223	2287
89	224	2266
90	224	2244
91	225	2224
92	226	2204
93	226	2184
94	227	2164
95	227	2145
96	228	2127
97	229	2108
98	229	2090
99	230	2072
100	230	2055
101	231	2036
102	231	2019
103	232	2003
104	233	1987
105	233	1971
106	234	1956
107	235	1941
108	235	1926
109	236	1911
110	236	1897
111	237	1883
112	238	1869
113	238	1855
114	239	1841
115	239	1827
116	240	1814
117	241	1802
118	241	1788
119	242	1776
120	242	1763
121	243	1751
122	243	1737
123	244	1726
124	244	1714
125	245	1703
126	246	1692
127	246	1679
128	247	1669
129	247	1659
130	248	1648
131	249	1638
132	249	1628
133	250	1618
134	251	1608
135	251	1598
136	252	1589
137	252	1578
138	253	1569
139	254	1560
140	254	1551
141	255	1542
142	255	1533
143	256	1524
144	257	1516
145	257	1507
146	258	1499
147	258	1490
148	259	1482
149	260	1476
150	261	1468
151	261	1460
152	262	1452
153	262	1444
154	263	1437
155	264	1429
156	264	1421
157	265	1414
158	265	1406
159	266	1399
160	267	1392
161	267	1385
162	268	1378
163	269	1371
164	269	1364
165	270	1357
166	270	1351
167	271	1344
168	272	1338
169	272	1331
170	273	1325
171	274	1319
172	274	1313
173	275	1307
174	275	1300
175	276	1295
176	277	1289
177	277	1283
178	278	1277
179	279	1271
180	279	1264
181	280	1258
182	280	1253
183	281	1247
184	281	1241
